Отметка времени,имя/телеграм ник,Я прибываю в Быдгощ:,ситуация с палаткой,касательно еды,веган,Я осознаю что для комфортной поездки мне стоит позаботиться о багажниках и сумках,"Я осознаю, что для комфортной поездки мне нужно позаботиться о хорошем коврике и теплом спальнике",результаты теста на стрессоустойчивость ,Я еду с ... по ...
01.04.2026 9:22:25,@dashananas,из Варшавы в 13:23,"нет палатки, хочу к кому-нибудь попроситься",Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 9:39:37,антон,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (18:45)
03.04.2026 11:56:27,Юра ладно ,из Варшавы в 13:23,все схвачено и есть свободное место в палатке,Я сам беру еду на себя,нет,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 9:49:24,ЛЮДА,из варшавы в 15:23,"нет палатки, хочу к кому-нибудь попроситься",Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,третье
01.04.2026 9:58:24,Танюша/Tamore,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,да,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 10:01:20,@uncleingi1,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 10:02:52,Данте,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 10:12:28,@danilchuk4,из Варшавы в 11:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,третье
01.04.2026 11:35:42,Злата,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,четвертое (18:45)
17.04.2026 15:20:34,Лолита @tessellat ,из Варшавы в 15:23,"нет палатки, хочу к кому-нибудь попроситься",Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
01.04.2026 19:05:44,supersonic,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (18:45)
01.04.2026 19:18:00,счь,из варшавы в 15:23,все схвачено,Я сам беру еду на себя,нет,да,да,Я ещё здесь,пятое
15.04.2026 12:18:22,@pinkcum,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
15.04.2026 12:29:12,Георгий гошко,из Вроцлава в 14:01,все схвачено и есть свободное место в палатке,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,третье (поздно ночью)
15.04.2026 13:49:09,WineDoll,из Вроцлава в 13:02,"нет палатки, хочу к кому-нибудь попроситься",Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
15.04.2026 12:18:22,Влад Синица,из варшавы в 15:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
10.04.2026 23:39:29,Полина @briefglimpses + Саня Федарович потому что ему лень заполнять анкету у него точно такие же..........,из Вроцлава в 12:03,все схвачено,Я сам беру еду на себя,нет,да,да,Я ещё здесь,третье (около 16)
05.04.2026 14:42:20,Dron,из Варшавы в 13:23,"нет палатки, хочу к кому-нибудь попроситься",Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое (как минимум)
14.04.2026 10:33:13,liza,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,да,да,да,Я ещё здесь,пятое (18:45)
14.04.2026 15:03:28,Elijahby,поеду на машине,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,третье
14.04.2026 23:00:15,ar53n1,машына,все схвачено,Я сам беру еду на себя,нет,да,да,Я ещё здесь,03.05-05.05 probably
15.04.2026 12:59:42,Катя,из Варшавы в 13:23,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
16.04.2026 17:51:34,Julia,В 14:20..,все схвачено и есть свободное место в палатке,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,пятое
21.04.2026 21:23:45,Stas (@stasshok),из Варшавы 13:23 поездом,все схвачено,Я хочу скинуться и участвовать в общей кухне,да,да,да,Я ещё здесь,третье
25.04.2026 21:14:59,Ростислав (@djequa1izer),машиной с Elijahby,все схвачено,Я хочу скинуться и участвовать в общей кухне,нет,да,да,Я ещё здесь,третье
